,Actor_Name,Actor_Image_File_Name,Actor_Data
40,Minissha Lamba,41-Minissha Lamba.jpg,"Minisha Lamba was born in the New Delhi-based Punjabi speaking Sikh family consisting of her dad Kewal, mom Manju, and brother Karan. She had not really decided to act in films, her goal was to become a Journalist, but she loved modeling and was fortunate enough to be selected to model for Cadbury...."
41,Shreyas Talpade,42-Shreyas Talpade.jpg,"Shreyas Talpade was born on January 27, 1976 in Bombay, Maharashtra, India. He is an actor and director, known for Om Shanti Om (2007), Iqbal (2005) and Dor (2006)."
42,Shahid Kapoor,43-Shahid Kapoor.jpg,"Shahid's rise to stardom reads like a bollywood script: from a struggler to a winner. With his hard work, perseverance and sincerity, he has written his own destiny.Shahid is a mine of unabashed talent and spark, beneath his calm and innocent veneer. Shahid Kapoor is young and vibrant, with a ..."
43,Sonam Kapoor,44-Sonam Kapoor.jpg,"Sonam Kapoor comes from an established film family. She is the daughter of actor and producer Anil Kapoor and the grandchild of filmmaker Surinder Kapoor. Sonam is Bollywood royalty with immense support in the Indian film fraternity.Unlike most star children, Sonam started life with a structured ..."
44,Genelia D'Souza,45-Genelia D'Souza.jpg,"Genelia D'Souza is an Indian actress, model, and host. She has appeared in Telugu, Hindi, Tamil, Kannada, and Malayalam language films. After gaining wide attention in a Parker Pen commercial with Amitabh Bachchan, D'Souza began her acting career with Tujhe Meri Kasam in 2003. She was recognized ..."
45,Irrfan Khan,46-Irrfan Khan.jpg,"Born Sahabzade Irfan Ali Khan, in Jaipur, Rajasthan (NW India) January 7, 1967 to a Pashto speaking Muslim family. Khan's mother, Begum Khan, was from the Tonk Hakim family and his father, Jagirdar Khan, from the Khajuriya village near the Tonk district, ran a tire business.The Khan family name ..."
46,Sonakshi Sinha,47-Sonakshi Sinha.jpg,She is the daughter of legendary Indian actor Shatrughan Sinha and Poonam Sinha and sister to Luv Sinha and Kussh Sinha. She started her career as a model and walked the ramp in the Lakme Fashion week in 2008. She got her break in movies after being signed up by Salman Khan for his thriller Fearless...
47,Parineeti Chopra,48-Parineeti Chopra.jpg,"Parineeti Chopra is an Indian actress and singer who appears in Hindi films, was born on in Ambala, Haryana into a Punjabi family. Her father, Pawan Chopra, is a businessman and supplier to the Indian Army at Ambala Cantonment and her mother is Reena Chopra. Chopra studied at the Convent of Jesus ..."
48,Vidya Balan,49-Vidya Balan.jpg,"Vidya was born in Palghat, Kerala, India. Her family consists of her dad, P.R. Balan, who is the Vice-President of ETC Channel; mom - a home-maker, and an elder sister, Priya, who is married to Kedar. She also has an aunt by the name of Raji Raju.The Balan family re-located to live at Road No. 11, ..."
49,Bobby Deol,50-Bobby Deol.jpg,"Bobby Deol (Vijay Singh Deol) is the second son of Bollywood mega-star Dharmendra. His older brother is another Bollywood mega-star, Sunny Deol. Deol began his career as a child artiste in the movie Dharam Veer (1977), playing a young Dharmendra.He has two step-sisters, namely Bollywood actress ..."
50,Dharmendra,51-Dharmendra.jpg,Dharmendra is one of the biggest stars of Indian cinema. Dharmendra Deol played the romantic hero in woman centric films from 1960-1968 and became romantic hero from 1968-69 and played the role of action hero from 1971-1997. Dharmendra has appeared in 306 films.He is known as 'Garam' Dharam in ...
51,Zareen Khan,52-Zareen Khan.jpg,"Khan was born to a Muslim Pathan family in Mumbai. Khan was forced to abandon her education while in college and begin working due to the financial troubles of her family. With no marketable skills to rely on, she tried her hand at modeling. Khan did quite a few small assignments that fetched her ..."
52,Shazahn Padamsee,53-Shazahn Padamsee.jpg,"Shazahn Padamsee is a multi-talented Indian film/stage actress and also a model. She was born to noted actors Alyque Padamsee and Sharon Prabhakar. She made her stage debut, alongside her father, in a play called ""Unspoken Dialogues"". Her first film appearance was in the 2009 Hindi film, Rocket ..."
53,Riteish Deshmukh,54-Riteish Deshmukh.jpg,"Riteish Deshmukh is an Indian actor, producer and architect who appears in Bollywood films. He is the son of Late. Vilasrao Deshmukh, the former Union Minister for Science, Technology and Earth Sciences, Government of India, and the former Chief Minister of Maharashtra. Riteish debuted with K. ..."
54,Neil Nitin Mukesh,55-Neil Nitin Mukesh.jpg,"He had a normal childhood, like most other children. He graduated from HR College, with a B.Com degree. At his father's insistence, he has been very focused on his career since he was in the 12th standard. He did a 4-month workshop with Kishore Namit Kapoor and also at Anupam Kher's institute, ..."
55,Naseeruddin Shah,56-Naseeruddin Shah.jpg,"Naseeruddin Shah was born on July 20, 1950 in Barabanki, Uttar Pradesh, India. He is an actor, known for The League of Extraordinary Gentlemen (2003), A Wednesday (2008) and Jaane Bhi Do Yaaro (1983). He has been married to Ratna Pathak Shah since April 1, 1982. They have three children."
56,Sharman Joshi,57-Sharman Joshi.jpg,"Sharman Joshi was born on April 28, 1979 in Bombay, Maharashtra, India. He is an actor, known for 3 Idiots (2009), Rang De Basanti (2006) and Hotchpotch: Fun Unlimited (2006). He has been married to Prerna Chopra since 2000. They have three children."
57,Paresh Rawal,58-Paresh Rawal.jpg,"Paresh Rawal was born on May 30, 1950 in Bombay, State of Bombay, India. He is a producer and actor, known for Hera Pheri (2000), OMG: Oh My God! (2012) and Hungama (2003). He is married to Swaroop Sampat. They have two children."
58,Akshaye Khanna,59-Akshaye Khanna.jpg,"Akshaye Khanna was born in Mumbai in 1975. He is the middle son of Bollywood actor and politician Vinod Khanna, and the younger brother of actor Rahul Khanna.After studying in Kishore Namit Kapoor Acting Institute in Mumbai, Khanna made his acting debut in Bollywood in 1997 with the movie Himalay ..."
59,Twinkle Khanna,60-Twinkle Khanna.jpg,"Very few people have the privilege of being born on the same day as their mom or dad, Tina is one of them. She was born on 29 December 1974, and shares her date of birth with her dad, Jatin alias super-star Rajesh Khanna, born in 1942. Tina is the daughter of well-known Bollywood actress, Dimple ..."
60,Shriya Saran,61-Shriya Saran.jpg,"Shriya Saran also known by the mononym Shriya, is an Indian film actress, model and presenter. She has worked in multiple of the regional industries of Indian cinema, including Hindi, Tamil, and Telugu language films, as well as a few films in English, Malayalam and Kannada. Saran made her film ..."
61,Mugdha Godse,62-Mugdha Godse.jpg,"Mugdha Godse was born on July 26, 1982 in Pune, Maharashtra, India. She is an actress and producer, known for Fashion (2008), Thani Oruvan (2015) and All the Best: Fun Begins (2009)."
62,Rajeev Khandelwal,63-Rajeev Khandelwal.jpg,"Rajeev Khandelwal is an Indian film and television actor. Some of his most notable characters have been Dr. Aamir Ali in the 2008 debut film Aamir and ACP Arvind Mathur who battles his inner demons in Shaitan, the Tinnitus affected DJ from Soundtrack. He also played Vivaan Agasthi in the 2013 ..."
63,Omi Vaidya,64-Omi Vaidya.jpg,"Omi Vaidya is an actor and editor, known for 3 Idiots (2009), The Desert Rose (2007) and Resident Aliens. He has been married to Minal Patel since August 22, 2009."
64,Aditi Rao Hydari,65-Aditi Rao Hydari.jpg,"Aditi Rao Hydari was born in 1986 in Hyderabad, from two royal lineages, that of Sir Akbar Hydari and J. Rameshwar Rao the erstwhile Raja of Wanaparthy.A classical Bharatanatyam dancer, she made her acting debut with Sharada Ramanathan's acclaimed film Sringaram and rose to fame after her ..."
65,Celina Jaitly,66-Celina Jaitly.jpg,"Celina Jaitly was born on 24th Nov 1981 in Shimla, India to a Punjabi Indian father and an Afghan mother. Her father Colonel V.K. Jaitly, is a retired Indian Army colonel, and her mother, Meeta, an Afghan is a child psychologist, as well as a beauty queen. Celina has one brother, who is currently ..."
66,Mithun Chakraborty,67-Mithun Chakraborty.jpg,"Mithun Chakraborty was born on June 16, 1947 in Barisal, Bengal Presidency, British India as Gouranga Chakraborti. He is an actor, known for OMG: Oh My God! (2012), Vivekananda (1994) and Guru (2007). He has been married to Yogeeta Bali since July 1982. They have four children. He was previously ..."
67,Yami Gautam,68-Yami Gautam.jpg,"She received IIFA - Star Debut of the Year Award and Zee Cine - Best Female Debut Award for Vicky Donor. She has acted in Total Siyappa and Action Jackson in 2014 and, Badlapur in 2015 against Varun Dhawan. All these movies performed well at the box office. She has also acted in Telugu Movie ..."
68,Ayushmann Khurrana,69-Ayushmann Khurrana.jpg,"Ayushmann Khurrana was born on 14 September 1984 in Chandigarh, India. Ayushmann started off his career as a popular radio jockey, and eventually became a VJ on MTV India and one of the most popular hosts in India. He shot to stardom with the runaway hit, 'Vicky Donor' in 2012. His effortless act ..."
69,Ajay Devgn,70-Ajay Devgn.jpg,"Ajay Devgn is an Indian film actor, director, and producer. He made his film debut with Phool Aur Kaante in 1991 and received a Filmfare Award for Best Male Debut for his performance in the film. He then starred in films such as Jigar (1992), Dilwale (1994), Suhaag (1994), Naajayaz (1995), Diljale ..."
70,Kangana Ranaut,71-Kangana Ranaut.jpg,"Kangana was born on 20 March 1987 in Bhambla, near Manali, which is in the Mandi district of Himachal Pradesh. Her dad's name is Amardeep, who is a businessman and contractor, her mom, Asha, is a school-teacher. She has two sisters, eldest one is Rangoli, and she has a brother, Akshit, who is about..."
71,Zayed Khan,72-Zayed Khan.jpg,"Zayed Khan's parents are former Bollywood actor Sanjay Khan and interior designer Zarine Khan. Khan is the youngest of four children. His older sisters are Simone Khan (wife of Ajay Arora), Sussanne Roshan (married to actor Hrithik Roshan), and Farah Khan Ali (wife of DJ Aqeel). Khan is related as ..."
72,Sameera Reddy,73-Sameera Reddy.jpg,Sameera's versatility as an actress and a trained Indian classical dancer made her perfect for Bollywood films. She debuted in a music video that got her noticed and kick started her movie career as one of the top actresses in India and has appeared in over fifteen films in just four years. She has...
73,Ameesha Patel,74-Ameesha Patel.jpg,"Grand-daughter of Indian freedom fighter, lawyer and former Justice Rajni Patel, Amisha, a Gemini, was born in Bombay's Breach Candy Hospital. Her younger brother Ashmit Patel is also a Bollywood film actor and her name is a blend of the first three letters of her father's name Amit and the last ..."
74,Jaaved Jaffery,75-Jaaved Jaffery.jpg,"Jaaved Jaffery is an actor, known for The Forest (2009)."
75,Sanjay Dutt,76-Sanjay Dutt.jpg,"Sanjay Dutt, son of Nargis and Sunil Dutt, was first featured in Rocky (1981), the movie was a box office hit.Sanjay's personal life was exacerbated by drug problems, and he later lost his wife Richa Sharma, to cancer. He was also arrested for having illegal weapons, and was imprisoned. After his ..."
76,Abhay Deol,77-Abhay Deol.jpg,"Abhay Deol (born in 1976, India) is an Indian film actor. He is the nephew of famous veteran actor Dharmendra and cousin of actors Sunny Deol and Bobby Deol and actress Esha Deol. After graduating from Mumbai University, Abhay headed to Los Angeles and studied Fine Arts. After completing a two year..."
77,Kalki Koechlin,78-Kalki Koechlin.jpg,Kalki Koechlin was born to French parents in a small village in Pondicherry. Her parents had come to India as hippies in the 1970s and settled there after they fell in love with the country. Her parents are devotees of Sri Aurobindo.Kalki was studying in Ooty when her parents insisted that she ...
78,Prachi Desai,79-Prachi Desai.jpg,"She is best known for her role as Bani Walia in the Hindi television drama Kasamh Se (2006) which aired on Zee TV. Prachi is the endorser, spokesperson, brand ambassador and the face of Neutrogena products in India.Prachi was born in Surat, Gujarat. She studied in St Joseph Convent, Panchgani and ..."
79,Manoj Bajpayee,80-Manoj Bajpayee.jpg,"Manoj Bajpayee was born on April 23, 1969 in Belwa, Bihar, India. He is known for his work on Gangs of Wasseypur (2012), Satya (1998) and Reflection (2001). He has been married to Neha since February 23, 2005."
80,Sonu Sood,81-Sonu Sood.jpg,"Sonu Sood was born in May 1973 to a entrepreneur and a teacher. He was born in Moga, Punjab but was raised in Nagpur. He has two sisters. He is an engineering graduate. He is married to Sonali and they have a son Ishaant. He was a Mr. India contestant. He is mainly known as the antagonist ..."
81,Neha Dhupia,82-Neha Dhupia.jpg,"Neha was born in the Punjabi-speaking Dhupia family in Cochin, India, on August 27, 1980, and as is customary with most Punjabi and Sikh families - she was nicknamed 'Chotu'. Her dad is an Officer in the Indian Navy, Pradip Singh Dhupia; her mom, Manpinder, is a homemaker, and she has a brother, ..."
82,Vinay Pathak,83-Vinay Pathak.jpg,"Vinay Pathak was born on July 12, 1968 in Bhojpur District, Bihar, India. He is an actor and writer, known for Bheja Fry (2007), Rab Ne Bana Di Jodi (2008) and My Name Is Khan (2010)."
83,Abhishek Bachchan,84-Abhishek Bachchan.jpg,"Aquarian Abhishek Srivastav was born in February 5, 1976, son of Bollywood mega-stars, Jaya Bhaduri and Amitabh Bachchan, brother to Shweta, uncle to her two children (Navya Naveli & Agastye), and the grandson of Harivansh Rai Srivastav, Hindu and Urdu poet, who wrote under the pen-name of ..."
84,Sridevi,85-Sridevi.jpg,"Sridevi was born on August 13, 1963 in her father's hometown of Sivakasi, Tamil Nadu, India. Her mother was from Tirupati, Andhra Pradesh. So Sridevi grew up speaking Telugu and Tamil. She has a sister named Srilatha and a stepbrother named Satish. Her dad passed away during the year 1991, while ..."
85,Arjun Rampal,86-Arjun Rampal.jpg,"From Jabalpur, Arjun Rampal went to Delhi to complete his education.At a party in Delhi, Fasion Designer Rohit Bal spotted Arjun Rampal and cast him as a male model in his shows.In 1994, Arjun proclaimed the title for 'Society's Face Of The Year'. And soon after went on to become an Indian ..."
86,Farhan Akhtar,87-Farhan Akhtar.jpg,"An accomplished and award-winning producer-director-writer-actor-singer, Farhan Akhtar is the ultimate Bollywood multi-hyphenate. Born in 1974 to prolific Indian film writer and poet, Javed Akhtar and writer-director, Honey Irani , Farhan was raised in an environment where creativity and ..."
87,Vivek Oberoi,88-Vivek Oberoi.jpg,"Vivek Oberoi was born on the 3rd of September,1976 and attended Mayo college in Ajmer. At an actors' workshop in London he was spotted by none other than the director of NYU who (unsurprisingly) whisked Vivek off to New York, where he completed his Masters Degree in film acting. Back home in India ..."
88,Manisha Koirala,89-Manisha Koirala.jpg,"Manisha Koirala (born 16 August 1970) is a Nepali actress who mainly appears in Bollywood, though she has worked in several South Indian and her native country's films. Noted for her acting prowess, Koirala is the recipient of several accolades, including four Filmfare Awards-and is one of India's ..."
89,Tabu,90-Tabu.jpg,"Tabu is an Indian actress. She has mainly acted in Hindi films, though she has also starred in Telugu, Tamil, Malayalam, Marathi and Bengali-language films, as well as one American film. She has won the National Film Award for Best Actress twice, and holds the record for the most wins of Filmfare's..."
90,Isha Koppikar,91-Isha Koppikar.jpg,"Coming from a Konkani-speaking Mangalorean family of learned academicians, Isha has herself completed a course in Life Sciences from Ruia College, and was born on September 19, 1976 in Bombay, India. She has a younger brother.After completing her college course, she contested the 1995 Miss India ..."
91,Sushmita Sen,92-Sushmita Sen.jpg,"Sushmita was born in the Bengali-speaking Sen family on November 19, 1975 in Hyderabad, Andhra Pradesh, India. Her family consists of her dad, Shubeer, a former Indian Air Force Wing Commander; mom, Subhra, Jewelry Designer and owner of a Dubai-based store. She has two siblings, a sister named ..."
92,Amrita Rao,93-Amrita Rao.jpg,"Amrita was born in the Rao family on June 7, 1986 in Mumbai, She speaks Konkani. She comes from a well to do Hindu family. Her dad owns an Advertising Agency.Amrita did not want to purse any career with Bollywood as she wanted to graduate in psychology, which she eventually did.No stranger to ..."
93,Chitrangda Singh,94-Chitrangda Singh.jpg,"""You have outdone Smita Patil,"" said Shekhar Kapur, when he saw Chitrangda Singh's performance in her debut movie Hazaaron Khwaishein Aisi (2003). And he is not the only one. Time and again Chitrangda has been compared to the legendary Smita Patil.Chitrangda began her career as a model prior to ..."
94,Arjun Kapoor,95-Arjun Kapoor.jpg,"Arjun Kapoor was born on June 26, 1985 in Bombay, Maharashtra, India. He is an actor and assistant director, known for Gunday (2014), Tevar (2015) and Ishaqzaade (2012)."
95,Emraan Hashmi,96-Emraan Hashmi.jpg,"Emraan Hashmi was born 24 March 1979) is an Indian film actor who appears in Hindi languagefilms. Through his successful career, Hashmi has received three Filmfare Award nominations and has established himself as one of the most popular and highest-paid actor of Hindi cinema.Hashmi, member of the ..."
96,Mallika Sherawat,97-Mallika Sherawat.jpg,"Mallika Sherawat was born on October 24, 1976 in Rohtak, Haryana, India as Reema Lambha. She is an actress, known for Murder (2004), The Myth (2005) and Maan Gaye Mughall-E-Azam (2008). She was previously married to Karan Singh Gill."
97,Nawazuddin Siddiqui,98-Nawazuddin Siddiqui.jpg,"Nawazuddin Siddiqui (born 1974) also known as Nowaz is an Indian film actor who has appeared in some of Bollywood's major films including, Black Friday (2004), New York (2009), Peepli Live (2010), Kahani (2012), Gangs of Wasseypur (2012) and Gangs of Wasseypur - Part 2 (2012).Early life and ..."
98,Aditya Roy Kapoor,99-Aditya Roy Kapoor.jpg,"Aditya Roy Kapoor was born on November 16, 1985 in Bombay, Maharashtra, India. He is an actor, known for Aashiqui 2 (2013), Yeh Jawaani Hai Deewani (2013) and Dear Zindagi (2016)."
